Entry	Entry name	Cross-reference (STRING)
Q9ULJ7	ANR50_HUMAN	9606.ENSP00000425658;
Q63HQ0	AP1AR_HUMAN	9606.ENSP00000274000;
Q10567	AP1B1_HUMAN	9606.ENSP00000350199;
Q86XS5	ANGL5_HUMAN	9606.ENSP00000335255;
Q9UBZ4	APEX2_HUMAN	9606.ENSP00000364126;
O14617	AP3D1_HUMAN	9606.ENSP00000347416;
Q9UJX5	APC4_HUMAN	9606.ENSP00000426654;
Q9BPW4	APOL4_HUMAN	9606.ENSP00000338260;
P02656	APOC3_HUMAN	9606.ENSP00000227667;
Q6ZNB7	ALKMO_HUMAN	9606.ENSP00000341662;
P42330	AK1C3_HUMAN	9606.ENSP00000369927;
Q9Y673	ALG5_HUMAN	9606.ENSP00000239891;
Q9BT22	ALG1_HUMAN	9606.ENSP00000262374;
Q8TCU4	ALMS1_HUMAN	9606.ENSP00000482968;
Q6ZTN6	AN13D_HUMAN	9606.ENSP00000427130;
E5RJM6	ANR65_HUMAN	9606.ENSP00000445688;
Q07075	AMPE_HUMAN	9606.ENSP00000265162;
Q7Z713	ANR37_HUMAN	9606.ENSP00000335147;
P16860	ANFB_HUMAN	9606.ENSP00000365651;
Q9BY76	ANGL4_HUMAN	9606.ENSP00000301455;
Q9BYT9	ANO3_HUMAN	9606.ENSP00000256737;
Q9Y6B7	AP4B1_HUMAN	9606.ENSP00000358582;
Q4KMQ2	ANO6_HUMAN	9606.ENSP00000409126;
O43827	ANGL7_HUMAN	9606.ENSP00000366015;
P25054	APC_HUMAN	9606.ENSP00000257430;
Q02410	APBA1_HUMAN	9606.ENSP00000265381;
Q9H1A4	APC1_HUMAN	9606.ENSP00000339109;
O75689	ADAP1_HUMAN	9606.ENSP00000442682;
O60503	ADCY9_HUMAN	9606.ENSP00000294016;
Q0VDE8	ADIG_HUMAN	9606.ENSP00000440331;
P07550	ADRB2_HUMAN	9606.ENSP00000305372;
P28332	ADH6_HUMAN	9606.ENSP00000378359;
Q5VW22	AGAP6_HUMAN	9606.ENSP00000400972;
Q8TD06	AGR3_HUMAN	9606.ENSP00000308606;
Q8IVF2	AHNK2_HUMAN	9606.ENSP00000353114;
Q53H12	AGK_HUMAN	9606.ENSP00000347581;
O60241	AGRB2_HUMAN	9606.ENSP00000362759;
Q9NQ31	AKIP1_HUMAN	9606.ENSP00000310459;
O95433	AHSA1_HUMAN	9606.ENSP00000216479;
P14550	AK1A1_HUMAN	9606.ENSP00000361140;
P51648	AL3A2_HUMAN	9606.ENSP00000345774;
Q02952	AKA12_HUMAN	9606.ENSP00000384537;
P00352	AL1A1_HUMAN	9606.ENSP00000297785;
Q9Y2D5	AKAP2_HUMAN	9606.ENSP00000363654;
Q9NPF8	ADAP2_HUMAN	9606.ENSP00000329468;
Q6ZN18	AEBP2_HUMAN	9606.ENSP00000381840;
C9JUS6	ADM5_HUMAN	9606.ENSP00000393631;
P43652	AFAM_HUMAN	9606.ENSP00000226355;
Q96P64	AGAP4_HUMAN	9606.ENSP00000392513;
A6NIR3	AGAP5_HUMAN	9606.ENSP00000363207;
O95081	AGFG2_HUMAN	9606.ENSP00000300176;
Q9HCK5	AGO4_HUMAN	9606.ENSP00000362306;
Q9BRQ8	AIFM2_HUMAN	9606.ENSP00000478931;
Q9UL18	AGO1_HUMAN	9606.ENSP00000362300;
Q96IF1	AJUBA_HUMAN	9606.ENSP00000262713;
Q02040	AK17A_HUMAN	9606.ENSP00000324827;
Q9BVK2	ALG8_HUMAN	9606.ENSP00000299626;
P20292	AL5AP_HUMAN	9606.ENSP00000479870;
P04075	ALDOA_HUMAN	9606.ENSP00000378669;
Q9BT30	ALKB7_HUMAN	9606.ENSP00000245812;
P05062	ALDOB_HUMAN	9606.ENSP00000363988;
Q99490	AGAP2_HUMAN	9606.ENSP00000449241;
Q8IZF3	AGRF4_HUMAN	9606.ENSP00000283303;
P10109	ADX_HUMAN	9606.ENSP00000260270;
Q9BYV1	AGT2_HUMAN	9606.ENSP00000231420;
O95994	AGR2_HUMAN	9606.ENSP00000391490;
Q96NN9	AIFM3_HUMAN	9606.ENSP00000382120;
Q86SQ4	AGRG6_HUMAN	9606.ENSP00000356581;
Q5I7T1	AG10B_HUMAN	9606.ENSP00000310120;
Q8IZF5	AGRF3_HUMAN	9606.ENSP00000307831;
Q9UKB5	AJAP1_HUMAN	9606.ENSP00000367433;
Q8N8R7	AL14E_HUMAN	9606.ENSP00000282032;
Q5JQC9	AKAP4_HUMAN	9606.ENSP00000351327;
Q9NP73	ALG13_HUMAN	9606.ENSP00000378260;
Q96Q83	ALKB3_HUMAN	9606.ENSP00000302232;
P49419	AL7A1_HUMAN	9606.ENSP00000387123;
Q8NER5	ACV1C_HUMAN	9606.ENSP00000243349;
Q4L235	ACSF4_HUMAN	9606.ENSP00000205214;
Q9NR19	ACSA_HUMAN	9606.ENSP00000253382;
Q9UKU0	ACSL6_HUMAN	9606.ENSP00000368566;
P35368	ADA1B_HUMAN	9606.ENSP00000306662;
Q8IUX7	AEBP1_HUMAN	9606.ENSP00000223357;
Q13015	AF1Q_HUMAN	9606.ENSP00000357917;
Q08117	AES_HUMAN	9606.ENSP00000221561;
P05141	ADT2_HUMAN	9606.ENSP00000360671;
P12236	ADT3_HUMAN	9606.ENSP00000370808;
Q9Y653	AGRG1_HUMAN	9606.ENSP00000455215;
Q14246	AGRE1_HUMAN	9606.ENSP00000311545;
Q9NVV5	AIG1_HUMAN	9606.ENSP00000350509;
Q5BKT4	AG10A_HUMAN	9606.ENSP00000266483;
Q9NWT8	AKIP_HUMAN	9606.ENSP00000342676;
O00170	AIP_HUMAN	9606.ENSP00000279146;
Q96BJ3	AIDA_HUMAN	9606.ENSP00000339161;
O43918	AIRE_HUMAN	9606.ENSP00000291582;
Q9H2A2	AL8A1_HUMAN	9606.ENSP00000265605;
P48448	AL3B2_HUMAN	9606.ENSP00000255084;
A6NHY2	AKD1B_HUMAN	9606.ENSP00000471417;
Q9H6U8	ALG9_HUMAN	9606.ENSP00000482396;
Q96IZ2	ADTRP_HUMAN	9606.ENSP00000229583;
P22570	ADRO_HUMAN	9606.ENSP00000416515;
Q9UHX3	AGRE2_HUMAN	9606.ENSP00000319883;
Q16352	AINX_HUMAN	9606.ENSP00000358865;
Q9UKA4	AKA11_HUMAN	9606.ENSP00000025301;
P17516	AK1C4_HUMAN	9606.ENSP00000369814;
Q9Y4X0	AMMR1_HUMAN	9606.ENSP00000262844;
Q6UX39	AMTN_HUMAN	9606.ENSP00000341013;
P0C7M7	ACSM4_HUMAN	9606.ENSP00000382349;
P07327	ADH1A_HUMAN	9606.ENSP00000209668;
P08588	ADRB1_HUMAN	9606.ENSP00000358301;
P12235	ADT1_HUMAN	9606.ENSP00000281456;
Q9H0C2	ADT4_HUMAN	9606.ENSP00000281154;
P51825	AFF1_HUMAN	9606.ENSP00000378578;
P51816	AFF2_HUMAN	9606.ENSP00000359489;
Q6QNK2	AGRD1_HUMAN	9606.ENSP00000261654;
Q8IZF7	AGRF2_HUMAN	9606.ENSP00000296862;
Q96K78	AGRG7_HUMAN	9606.ENSP00000273352;
O43823	AKAP8_HUMAN	9606.ENSP00000269701;
O14862	AIM2_HUMAN	9606.ENSP00000357112;
Q9H9L7	AKIR1_HUMAN	9606.ENSP00000392678;
Q60I27	AL2CL_HUMAN	9606.ENSP00000313670;
Q9HAR2	AGRL3_HUMAN	9606.ENSP00000422533;
Q13686	ALKB1_HUMAN	9606.ENSP00000216489;
Q96QP1	ALPK1_HUMAN	9606.ENSP00000398048;
O75077	ADA23_HUMAN	9606.ENSP00000264377;
P60709	ACTB_HUMAN	9606.ENSP00000349960;
P63267	ACTH_HUMAN	9606.ENSP00000386857;
O00116	ADAS_HUMAN	9606.ENSP00000264167;
Q9UKF5	ADA29_HUMAN	9606.ENSP00000484862;
Q3MIX3	ADCK5_HUMAN	9606.ENSP00000310547;
P78536	ADA17_HUMAN	9606.ENSP00000309968;
P35318	ADML_HUMAN	9606.ENSP00000436607;
Q8WV93	AFG1L_HUMAN	9606.ENSP00000357973;
Q8N302	AGGF1_HUMAN	9606.ENSP00000316109;
Q8IZP9	AGRG2_HUMAN	9606.ENSP00000369198;
Q9P2G1	AKIB1_HUMAN	9606.ENSP00000265742;
O00468	AGRIN_HUMAN	9606.ENSP00000368678;
Q9UKV8	AGO2_HUMAN	9606.ENSP00000220592;
O00253	AGRP_HUMAN	9606.ENSP00000290953;
Q9P0M2	AKA7G_HUMAN	9606.ENSP00000405252;
O60218	AK1BA_HUMAN	9606.ENSP00000352584;
O94788	AL1A2_HUMAN	9606.ENSP00000249750;
Q9NP70	AMBN_HUMAN	9606.ENSP00000313809;
Q9BYD9	ACTT3_HUMAN	9606.ENSP00000333037;
Q9UKJ8	ADA21_HUMAN	9606.ENSP00000474385;
Q9UEY8	ADDG_HUMAN	9606.ENSP00000348381;
Q8TED9	AF1L1_HUMAN	9606.ENSP00000296721;
Q6ULP2	AFTIN_HUMAN	9606.ENSP00000238855;
P50052	AGTR2_HUMAN	9606.ENSP00000360973;
P30838	AL3A1_HUMAN	9606.ENSP00000411821;
P55008	AIF1_HUMAN	9606.ENSP00000365227;
Q719I0	AHSA2_HUMAN	9606.ENSP00000377970;
Q9NZD4	AHSP_HUMAN	9606.ENSP00000307199;
Q12802	AKP13_HUMAN	9606.ENSP00000354718;
Q8WXG9	AGRV1_HUMAN	9606.ENSP00000384582;
P10323	ACRO_HUMAN	9606.ENSP00000216139;
P35612	ADDB_HUMAN	9606.ENSP00000264436;
P13945	ADRB3_HUMAN	9606.ENSP00000343782;
Q9H9G7	AGO3_HUMAN	9606.ENSP00000362287;
O95831	AIFM1_HUMAN	9606.ENSP00000287295;
P00813	ADA_HUMAN	9606.ENSP00000361965;
P25100	ADA1D_HUMAN	9606.ENSP00000368766;
P40145	ADCY8_HUMAN	9606.ENSP00000286355;
P00325	ADH1B_HUMAN	9606.ENSP00000306606;
P00326	ADH1G_HUMAN	9606.ENSP00000426083;
Q96PN6	ADCYA_HUMAN	9606.ENSP00000356825;
P55196	AFAD_HUMAN	9606.ENSP00000375960;
Q96P47	AGAP3_HUMAN	9606.ENSP00000380413;
Q8IZF2	AGRF5_HUMAN	9606.ENSP00000283296;
Q9UHB7	AFF4_HUMAN	9606.ENSP00000265343;
Q9NZN9	AIPL1_HUMAN	9606.ENSP00000370521;
Q9H8T0	AKTIP_HUMAN	9606.ENSP00000378152;
C9J202	AG1L2_HUMAN	9606.ENSP00000479850;
Q9HBW9	AGRL4_HUMAN	9606.ENSP00000359778;
P31749	AKT1_HUMAN	9606.ENSP00000451828;
O75969	AKAP3_HUMAN	9606.ENSP00000228850;
P49753	ACOT2_HUMAN	9606.ENSP00000238651;
P36544	ACHA7_HUMAN	9606.ENSP00000407546;
O96019	ACL6A_HUMAN	9606.ENSP00000397552;
Q9H568	ACTL8_HUMAN	9606.ENSP00000364555;
P45381	ACY2_HUMAN	9606.ENSP00000263080;
Q01718	ACTHR_HUMAN	9606.ENSP00000333821;
Q8N7X0	ADGB_HUMAN	9606.ENSP00000381036;
P55263	ADK_HUMAN	9606.ENSP00000286621;
P51826	AFF3_HUMAN	9606.ENSP00000386834;
P55198	AF17_HUMAN	9606.ENSP00000479910;
Q16186	ADRM1_HUMAN	9606.ENSP00000478877;
O60242	AGRB3_HUMAN	9606.ENSP00000359630;
P08172	ACM2_HUMAN	9606.ENSP00000399745;
Q6P461	ACSM6_HUMAN	9606.ENSP00000340296;
Q68CK6	ACS2B_HUMAN	9606.ENSP00000327453;
P37023	ACVL1_HUMAN	9606.ENSP00000373574;
Q9ULC5	ACSL5_HUMAN	9606.ENSP00000348429;
Q15848	ADIPO_HUMAN	9606.ENSP00000389814;
P40394	ADH7_HUMAN	9606.ENSP00000420269;
Q9H2P0	ADNP_HUMAN	9606.ENSP00000379346;
P17787	ACHB2_HUMAN	9606.ENSP00000357461;
P45954	ACDSB_HUMAN	9606.ENSP00000357873;
Q04844	ACHE_HUMAN	9606.ENSP00000293780;
Q15067	ACOX1_HUMAN	9606.ENSP00000293217;
Q562R1	ACTBL_HUMAN	9606.ENSP00000416706;
P63261	ACTG_HUMAN	9606.ENSP00000458162;
Q08043	ACTN3_HUMAN	9606.ENSP00000422007;
Q9BUB4	ADAT1_HUMAN	9606.ENSP00000310015;
Q5VUY2	ADCL4_HUMAN	9606.ENSP00000365395;
Q8TC27	ADA32_HUMAN	9606.ENSP00000369238;
Q7Z4H4	ADM2_HUMAN	9606.ENSP00000379087;
P43681	ACHA4_HUMAN	9606.ENSP00000359285;
P30532	ACHA5_HUMAN	9606.ENSP00000299565;
Q99424	ACOX2_HUMAN	9606.ENSP00000307697;
Q08AH3	ACS2A_HUMAN	9606.ENSP00000459451;
Q9NZK5	ADA2_HUMAN	9606.ENSP00000382731;
O15204	ADEC1_HUMAN	9606.ENSP00000256412;
Q53FZ2	ACSM3_HUMAN	9606.ENSP00000289416;
P25106	ACKR3_HUMAN	9606.ENSP00000272928;
O00767	ACOD_HUMAN	9606.ENSP00000359380;
O14561	ACPM_HUMAN	9606.ENSP00000458770;
Q8NEB7	ACRBP_HUMAN	9606.ENSP00000229243;
Q9H6R3	ACSS3_HUMAN	9606.ENSP00000449535;
P35609	ACTN2_HUMAN	9606.ENSP00000443495;
Q9BZ11	ADA33_HUMAN	9606.ENSP00000348912;
Q96M93	ADAD1_HUMAN	9606.ENSP00000296513;
O43184	ADA12_HUMAN	9606.ENSP00000357668;
P18825	ADA2C_HUMAN	9606.ENSP00000386069;
P78325	ADAM8_HUMAN	9606.ENSP00000453302;
Q6NUN0	ACSM5_HUMAN	9606.ENSP00000327916;
Q15847	ADIRF_HUMAN	9606.ENSP00000361083;
Q9BRR6	ADPGK_HUMAN	9606.ENSP00000312250;
Q96SZ5	AEDO_HUMAN	9606.ENSP00000362888;
Q6ZNF0	ACP7_HUMAN	9606.ENSP00000327557;
P08912	ACM5_HUMAN	9606.ENSP00000372750;
Q99798	ACON_HUMAN	9606.ENSP00000216254;
P62736	ACTA_HUMAN	9606.ENSP00000402373;
Q9UKF2	ADA30_HUMAN	9606.ENSP00000358407;
P35348	ADA1A_HUMAN	9606.ENSP00000369960;
Q9Y2D8	ADIP_HUMAN	9606.ENSP00000340279;
Q6IQ32	ADNP2_HUMAN	9606.ENSP00000262198;
Q7Z7M1	AGRD2_HUMAN	9606.ENSP00000335156;
Q96QF7	ACRC_HUMAN	9606.ENSP00000362799;
Q9UKQ2	ADA28_HUMAN	9606.ENSP00000265769;
Q7Z695	ADCK2_HUMAN	9606.ENSP00000072869;
Q08AH1	ACSM1_HUMAN	9606.ENSP00000301956;
O43306	ADCY6_HUMAN	9606.ENSP00000311405;
P55197	AF10_HUMAN	9606.ENSP00000307411;
Q8N4X5	AF1L2_HUMAN	9606.ENSP00000303042;
Q9UPQ3	AGAP1_HUMAN	9606.ENSP00000307634;
Q6UXC1	AEGP_HUMAN	9606.ENSP00000319388;
Q3LIE5	ADPRM_HUMAN	9606.ENSP00000369099;
Q8IZF6	AGRG4_HUMAN	9606.ENSP00000377699;
Q96PE1	AGRA2_HUMAN	9606.ENSP00000406367;
P12814	ACTN1_HUMAN	9606.ENSP00000377941;
Q8TDG2	ACTT1_HUMAN	9606.ENSP00000360165;
O43707	ACTN4_HUMAN	9606.ENSP00000252699;
Q4G176	ACSF3_HUMAN	9606.ENSP00000479130;
P14621	ACYP2_HUMAN	9606.ENSP00000378161;
Q7Z6V5	ADAT2_HUMAN	9606.ENSP00000237283;
Q96EY9	ADAT3_HUMAN	9606.ENSP00000332448;
Q08828	ADCY1_HUMAN	9606.ENSP00000297323;
O60266	ADCY3_HUMAN	9606.ENSP00000260600;
O95622	ADCY5_HUMAN	9606.ENSP00000419361;
P11766	ADHX_HUMAN	9606.ENSP00000296412;
P08319	ADH4_HUMAN	9606.ENSP00000265512;
Q8NB90	AFG2H_HUMAN	9606.ENSP00000274008;
P30556	AGTR1_HUMAN	9606.ENSP00000419422;
C9J069	AJM1_HUMAN	9606.ENSP00000412388;
Q96Q35	AL2SB_HUMAN	9606.ENSP00000385098;
P33121	ACSL1_HUMAN	9606.ENSP00000422607;
Q96CM8	ACSF2_HUMAN	9606.ENSP00000401831;
P07311	ACYP1_HUMAN	9606.ENSP00000238618;
O60488	ACSL4_HUMAN	9606.ENSP00000339787;
Q9H2U9	ADAM7_HUMAN	9606.ENSP00000175238;
Q9H013	ADA19_HUMAN	9606.ENSP00000257527;
P51828	ADCY7_HUMAN	9606.ENSP00000378187;
Q5T7M4	ADIPL_HUMAN	9606.ENSP00000329137;
P54922	ADPRH_HUMAN	9606.ENSP00000420200;
P52594	AGFG1_HUMAN	9606.ENSP00000387282;
Q5TGY3	AHDC1_HUMAN	9606.ENSP00000363123;
P51857	AK1D1_HUMAN	9606.ENSP00000242375;
Q6DHV7	ADAL_HUMAN	9606.ENSP00000398744;
Q9NRN7	ADPPT_HUMAN	9606.ENSP00000278618;
P42568	AF9_HUMAN	9606.ENSP00000369695;
Q8N556	AFAP1_HUMAN	9606.ENSP00000410689;
O95394	AGM1_HUMAN	9606.ENSP00000425809;
Q8WTP8	AEN_HUMAN	9606.ENSP00000331944;
Q86Y34	AGRG3_HUMAN	9606.ENSP00000332900;
Q86SQ6	AGRA1_HUMAN	9606.ENSP00000376384;
Q9Y4W6	AFG32_HUMAN	9606.ENSP00000269143;
Q9Y6U3	ADSV_HUMAN	9606.ENSP00000297029;
O14514	AGRB1_HUMAN	9606.ENSP00000430945;
Q99996	AKAP9_HUMAN	9606.ENSP00000348573;
P29372	3MG_HUMAN	9606.ENSP00000219431;
O60516	4EBP3_HUMAN	9606.ENSP00000308472;
P0DKL9	A14EL_HUMAN	9606.ENSP00000472409;
P04217	A1BG_HUMAN	9606.ENSP00000263100;
Q9NQ94	A1CF_HUMAN	9606.ENSP00000378868;
A5X5Y0	5HT3E_HUMAN	9606.ENSP00000406050;
P21589	5NTD_HUMAN	9606.ENSP00000257770;
Q09428	ABCC8_HUMAN	9606.ENSP00000303960;
Q9UNQ0	ABCG2_HUMAN	9606.ENSP00000237612;
Q8WW27	ABEC4_HUMAN	9606.ENSP00000310622;
P08910	ABHD2_HUMAN	9606.ENSP00000268129;
Q8WU67	ABHD3_HUMAN	9606.ENSP00000289119;
Q9P2A4	ABI3_HUMAN	9606.ENSP00000225941;
Q9UDR5	AASS_HUMAN	9606.ENSP00000377040;
P49748	ACADV_HUMAN	9606.ENSP00000438689;
P10321	1C07_HUMAN	9606.ENSP00000365402;
P01889	1B07_HUMAN	9606.ENSP00000399168;
P63104	1433Z_HUMAN	9606.ENSP00000379287;
