#Name	d=1	d=2	d=3	...
RAPGEF4:cAMP	8	31	1493	4063	5816	6767	7542	8204	8619	9001	9269	9490	9612	9709	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
BTNL9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
RAD50:MRE11A	2	4	7	12	48	119	232	479	826	2697	5526	7401	8508	9347	9778	9982	10060	10109	10124	10131	10138	10141	10146	10148	10152	10155	10157	10158	10158	10158
Sec-tRNA(Sec):EEFSEC:GTP	6	49	383	2591	4612	5962	7078	7811	8340	8744	9092	9336	9552	9669	9763	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157	10157	10157
CYP(1)	19	750	2151	4394	6126	7019	7596	8352	8838	9108	9416	9598	9726	9820	9911	9971	10039	10093	10128	10149	10155	10159	10159	10159	10159	10159	10159	10159	10159	10159
proMMP8	28	69	170	240	1641	4127	5894	6858	7624	8208	8634	8998	9268	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158
NTN1	33	96	1586	4219	5880	6773	7567	8212	8647	9010	9279	9503	9623	9719	9804	9881	9946	10000	10063	10116	10145	10159	10164	10167	10167	10167	10167	10167	10167	10167
Hydroperoxy	13	23	731	2094	4333	6085	6978	7568	8345	8828	9153	9415	9597	9725	9819	9910	9970	10038	10092	10127	10148	10154	10158	10158	10158	10158	10158	10158	10158	10158
CTSD	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
NEK2	56	250	1838	4477	6014	6876	7659	8302	8708	9048	9300	9521	9643	9748	9828	9897	9961	10012	10076	10128	10155	10169	10174	10177	10177	10177	10177	10177	10177	10177
GAG	15	32	45	71	158	729	3131	5272	6420	7179	7890	8380	8763	9096	9340	9557	9677	9770	9845	9931	9981	10050	10102	10136	10152	10157	10160	10160	10160	10160
tRNA(Trp)	30	62	95	297	1699	3910	5545	6694	7565	8184	8614	8988	9261	9488	9607	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157
ACTH	17	995	2478	4565	6166	7034	7619	8355	8789	9104	9413	9597	9725	9819	9910	9970	10038	10092	10127	10148	10154	10158	10158	10158	10158	10158	10158	10158	10158	10158
Phenyl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysosome	4	52	403	2711	4968	6237	7109	7862	8353	8752	9089	9337	9553	9674	9767	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157	10157	10157
SLC35D1	3	10	11	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
Nucleosome	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IL1R1	22	72	1459	3825	5582	6723	7551	8195	8632	8996	9268	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158	10158
FA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSG	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
uPAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microtubule	55	200	2276	4525	5960	7046	7790	8341	8738	9083	9334	9552	9670	9764	9843	9929	9979	10048	10100	10134	10150	10155	10158	10158	10158	10158	10158	10158	10158	10158
SMAD7:SMURF/NEDD4L	7	13	38	198	420	2807	4787	5949	7170	7881	8423	8790	9115	9359	9575	9698	9789	9863	9938	9986	10051	10100	10135	10148	10154	10158	10158	10158	10158	10158
HCOOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAD1	6	16	372	1493	3713	5419	6657	7395	8093	8544	8926	9194	9446	9630	9743	9826	9913	9973	10040	10097	10128	10150	10155	10158	10158	10158	10158	10158	10158	10158
ZC3H11A	33	69	100	163	353	1978	4655	6570	7963	8913	9468	9811	9979	10038	10082	10108	10119	10128	10134	10138	10144	10147	10151	10154	10156	10157	10157	10157	10157	10157
IFNG	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
IL20:IL22RA1:JAK1:IL20RB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL2L1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
p-Y231-ARAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCF1	23	41	57	116	384	1636	3999	5917	7356	8100	8879	9321	9519	9690	9867	9961	10045	10112	10147	10163	10171	10177	10180	10181	10183	10184	10184	10184	10184	10184
p-Y-PSF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP48:TRAF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KBTBD7:CUL3:RBX1	2	3	5	6	8	20	46	1510	4071	5799	6765	7575	8202	8620	8994	9264	9494	9614	9710	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158
p-Y281,292-RUFY1:PI3P	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MSN	9	70	400	2616	4627	5986	7118	7818	8361	8753	9092	9336	9552	9669	9763	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157	10157	10157
Phenytoin	4	25	94	1009	2491	4670	6245	7100	7665	8369	8794	9106	9415	9597	9725	9819	9910	9970	10038	10092	10127	10148	10154	10158	10158	10158	10158	10158	10158	10158
Envelope	3	4	5	6	7	8	9	10	11	12	13	14	15	17	20	38	59	139	1533	3881	5638	6776	7584	8228	8663	9027	9298	9520	9637	9733
USP33:CCP110,ARRB1,ARRB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JAG1:NOTCH1	5	7	9	15	19	31	65	157	389	2171	4695	6595	7789	8685	9229	9517	9654	9760	9863	9941	10019	10079	10115	10137	10149	10154	10155	10157	10157	10157
BRWD1	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
PNPB	4	6	11	74	420	2613	4648	5978	7079	7814	8359	8754	9093	9337	9552	9670	9764	9843	9929	9979	10048	10100	10134	10150	10155	10158	10158	10158	10158	10158
LGR8	82	234	1877	4444	6025	6936	7655	8210	8648	9010	9265	9490	9612	9709	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
ILK	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HLA-C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AGPS	6	25	53	174	584	2650	4679	6012	7065	7803	8344	8744	9087	9335	9553	9671	9765	9844	9930	9980	10049	10101	10135	10151	10156	10159	10159	10159	10159	10159
GDF2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HDGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC34A1,2	4	58	521	2790	4750	6108	7092	7810	8374	8753	9094	9340	9553	9670	9764	9843	9929	9979	10048	10100	10134	10150	10155	10158	10158	10158	10158	10158	10158	10158
ME1	10	272	1377	3640	5400	6660	7374	8097	8546	8926	9194	9427	9630	9743	9826	9913	9973	10040	10097	10128	10150	10155	10158	10158	10158	10158	10158	10158	10158	10158
TFIIIC	11	14	18	21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
RTC	2	3	4	5	6	7	8	9	10	14	19	22	27	35	38	43	63	107	164	318	466	818	1232	3384	5801	7289	8540	9242	9646	9890
CTP	15	1286	4233	5728	6665	7534	8165	8617	8993	9265	9495	9616	9709	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157	10157
E2F1:TFDP1,TFDP2:FBXO5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
HOXA4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
PUS3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
USP47:PolyUb-POLB	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
destruction	14	81	1483	3851	5635	6863	7708	8335	8714	9085	9336	9545	9667	9760	9845	9930	9979	10046	10096	10132	10147	10153	10157	10157	10157	10157	10157	10157	10157	10157
6xHC-INS(25-110)	3	6	21	77	361	1450	4042	5825	6804	7435	8126	8571	8901	9184	9445	9633	9742	9823	9911	9971	10038	10093	10126	10147	10153	10157	10157	10157	10157	10157
DOX	4	46	358	1431	3667	5406	6663	7374	8095	8549	8926	9192	9446	9630	9743	9826	9913	9973	10040	10097	10128	10150	10155	10158	10158	10158	10158	10158	10158	10158
Transposon	2	5	7	9	24	63	943	3282	5236	6556	7269	8018	8515	8885	9187	9441	9628	9742	9824	9912	9972	10039	10094	10127	10148	10154	10158	10158	10158	10158
PERK	6	56	1457	3828	5578	6718	7546	8192	8631	8997	9268	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158	10158
CBR3	4	46	358	1431	3665	5406	6662	7374	8088	8549	8926	9194	9446	9635	9743	9826	9913	9973	10040	10097	10128	10150	10155	10158	10158	10158	10158	10158	10158	10158
IL6	9	59	1449	3815	5576	6718	7548	8192	8630	8996	9267	9491	9608	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
Ub:ERCC6	5	85	185	329	675	1120	3522	5801	7390	8451	9203	9547	9808	9955	10036	10100	10129	10140	10145	10147	10154	10157	10157	10157	10157	10157	10157	10157	10157	10157
Integrin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PRP19-CDC5L	38	47	62	138	170	205	230	298	427	663	2677	5469	7309	8503	9341	9740	9949	10042	10098	10117	10125	10132	10136	10139	10142	10147	10151	10153	10157	10158
HOXA2	5	12	18	38	65	211	1869	4257	6129	7290	8215	8778	9197	9423	9630	9776	9883	9960	10032	10086	10122	10141	10147	10154	10157	10159	10160	10160	10160	10160
PHYKPL	4	18	166	1600	3818	5518	6681	7553	8183	8615	8989	9262	9489	9608	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158
TP53	3	5	38	280	791	2834	5032	6037	7121	7825	8349	8751	9089	9337	9553	9674	9767	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157
pH	138	426	2392	4761	6162	7029	7720	8289	8679	9019	9279	9496	9613	9709	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
SEC24C,D	39	106	1768	4355	5897	6830	7616	8227	8646	9012	9284	9510	9624	9716	9800	9878	9943	9998	10061	10111	10139	10151	10155	10158	10158	10158	10158	10158	10158	10158
Pre-NOTCH	7	9	10	14	25	66	149	316	2066	4593	6119	6932	7718	8312	8716	9050	9301	9516	9631	9725	9805	9872	9937	9991	10054	10107	10136	10150	10155	10158
TSTA3	5	48	364	1436	3677	5462	6708	7398	8096	8548	8878	9180	9427	9630	9743	9826	9913	9973	10040	10097	10128	10150	10155	10158	10158	10158	10158	10158	10158	10158
Migfilin:Filamin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SQOX	2	7	716	2079	4318	6083	6977	7567	8340	8832	9152	9414	9596	9724	9818	9909	9969	10037	10091	10126	10147	10153	10157	10157	10157	10157	10157	10157	10157	10157
Collagen	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
PolyUb-RUNX2	21	164	360	2274	4483	5938	7079	7827	8397	8785	9109	9350	9566	9690	9782	9858	9934	9983	10050	10099	10134	10147	10153	10157	10157	10157	10157	10157	10157	10157
phospho-CaMK	4	8	11	14	18	23	29	34	39	57	81	180	276	1831	4319	6297	7570	8484	9088	9413	9652	9817	9955	10047	10102	10121	10132	10138	10144	10147
p-S621	12	64	1452	3817	5578	6723	7550	8200	8637	9003	9274	9498	9615	9712	9801	9878	9943	9997	10060	10113	10142	10156	10161	10164	10164	10164	10164	10164	10164	10164
UBC(153-228)	345	645	2722	4930	6374	7481	8428	8849	9254	9475	9646	9798	9909	9985	10058	10114	10146	10169	10174	10180	10181	10183	10184	10184	10184	10184	10184	10184	10184	10184
ESRRA	3	8	9	10	15	69	1521	3828	5585	6725	7547	8193	8627	8997	9268	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158
phospho-Y265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTHFD2,	5	28	250	1645	3864	5518	6693	7563	8185	8617	8989	9262	9489	9608	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158
SRPRB	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CTNNB1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
CLEC6A:FCER1G	8	58	1446	3813	5574	6722	7547	8194	8633	8999	9270	9494	9611	9708	9797	9874	9939	9993	10056	10109	10138	10152	10157	10160	10160	10160	10160	10160	10160	10160
p-Y7-CLEC1B	3	30	222	1974	4284	5937	6953	7695	8252	8664	9009	9274	9494	9608	9705	9794	9871	9977	9990	10096	10132	10135	10149	10154	10157	10157	10157	10157	10157	10157
RABGAP1:RAB6:GTP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBXW7:SKP1:CUL1:RBX1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
CPM	4	25	94	1009	2491	4670	6247	7100	7665	8368	8790	9156	9415	9597	9725	9819	9910	9970	10038	10092	10127	10148	10154	10158	10158	10158	10158	10158	10158	10158
Neu5Ac-2,6-Gal-R	3	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
PPP5C	3	44	367	2582	4609	5976	7069	7810	8338	8746	9093	9334	9553	9670	9764	9843	9929	9979	10048	10100	10134	10150	10155	10158	10158	10158	10158	10158	10158	10158
DMBT1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Capping	6	31	57	121	464	2124	4889	7018	8361	9302	9703	9935	10025	10080	10106	10121	10128	10133	10137	10141	10149	10151	10154	10157	10157	10157	10157	10157	10157	10157
CYP1A1	22	750	2152	4397	6131	7050	7599	8352	8837	9154	9412	9596	9724	9818	9909	9969	10037	10091	10126	10147	10153	10157	10157	10157	10157	10157	10157	10157	10157	10157
LRPs	27	127	1726	4027	5682	6770	7587	8211	8642	9007	9275	9497	9614	9711	9800	9877	9942	9996	10059	10112	10141	10155	10160	10163	10163	10163	10163	10163	10163	10163
PhOH	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
SMAD7:RNF111	4	8	16	47	78	185	334	588	2795	5752	7016	7861	8679	9153	9459	9638	9781	9902	10000	10069	10121	10142	10146	10155	10157	10157	10157	10157	10157	10157
TAS2Rs:Bitter-tasting	154	387	2221	4608	6030	6982	7709	8289	8679	9021	9281	9502	9616	9711	9795	9872	9937	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
CCNK:CDK12	14	30	60	204	311	396	548	2113	4637	6545	7897	8882	9426	9733	9913	10020	10082	10115	10127	10132	10137	10140	10145	10147	10151	10154	10156	10157	10157	10157
NR1D1:heme:Corepressors:NR1D1	3	9	14	30	61	121	307	2153	4766	6333	7140	8121	8640	8943	9156	9408	9589	9698	9762	9818	9882	9942	9997	10060	10110	10138	10150	10154	10157	10157
SF	67	226	1908	4475	6136	7157	7973	8518	8917	9217	9407	9547	9661	9788	9898	9961	10034	10095	10126	10143	10151	10156	10158	10159	10159	10159	10159	10159	10159	10159
Alpha-polyglutamylated	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NAT1	6	13	99	1077	3457	5375	6652	7357	8087	8520	8939	9189	9444	9630	9744	9827	9914	9974	10041	10098	10129	10151	10156	10159	10159	10159	10159	10159	10159	10159
USP16,USP22:Histone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PTPN22:CSK	4	13	95	1660	3989	5653	6744	7574	8199	8634	9002	9271	9493	9610	9707	9796	9873	9938	9992	10055	10108	10137	10151	10156	10159	10159	10159	10159	10159	10159
SH7P	5	30	162	1810	4037	5685	6775	7558	8198	8635	9000	9269	9491	9608	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157
p-S63-ATF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru	14	78	1493	3837	5583	6723	7550	8192	8631	8997	9267	9491	9608	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
BTG2	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
PETA	4	18	165	1600	3820	5518	6677	7545	8183	8615	8989	9262	9489	9608	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158
MCHR1,MCHR2	257	628	2571	4824	6162	7034	7717	8287	8681	9021	9281	9502	9616	9711	9795	9872	9937	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
STING:STING	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
p-3S,T	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
TRAF6:hp-IRAK1	10	69	1455	3815	5572	6720	7544	8188	8631	8996	9268	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158	10158
SUV420H1,SUV420H2,(SMYD3)	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
PGG2	3	29	103	1045	2504	4674	6244	7099	7664	8357	8839	9155	9414	9577	9724	9818	9909	9969	10037	10091	10126	10147	10153	10157	10157	10157	10157	10157	10157	10157
SRMS	8	59	1446	3812	5570	6718	7538	8193	8630	8998	9269	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158	10158
BDNF,NTF4:p-5Y-NTRK2:p-4Y-PLCG1	7	16	43	238	1927	4173	5835	6928	7686	8249	8663	9009	9274	9494	9608	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157
tRNA(Tyr)	8	47	167	1747	4061	5699	6791	7614	8226	8648	9010	9274	9493	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158
3H,4MBNZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAR:CHOL	3	8	103	296	2256	4417	5830	7034	7764	8312	8728	9079	9331	9550	9671	9765	9844	9931	9981	10050	10100	10136	10151	10157	10161	10161	10161	10161	10161	10161
MTABC3	7	85	1652	3985	5651	6744	7568	8200	8633	9001	9270	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158	10158
tRNA(Phe)	3	5	9	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
Aminoacyl-tRNA	32	75	399	2596	4613	5971	7093	7825	8357	8753	9086	9333	9551	9669	9763	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157	10157	10157
CARD9	3	4	5	6	7	8	9	16	60	184	1758	4068	5699	6790	7609	8223	8649	9011	9275	9494	9610	9707	9796	9873	9938	9992	10055	10108	10137	10151
CASP8(1-479),	39	56	111	1503	3874	5637	6781	7597	8226	8647	9010	9275	9496	9613	9710	9799	9876	9941	9995	10058	10111	10140	10154	10159	10162	10162	10162	10162	10162	10162
Activated	16	114	1625	4224	5896	6823	7610	8218	8638	9002	9269	9493	9613	9709	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
IRF2	3	5	9	23	132	2184	4422	5880	7025	7762	8334	8793	9102	9348	9553	9671	9764	9842	9929	9979	10048	10098	10134	10149	10155	10159	10159	10159	10159	10159
RRM2	6	686	2065	4308	6078	6978	7569	8345	8784	9154	9382	9597	9725	9819	9910	9970	10038	10092	10127	10148	10154	10158	10158	10158	10158	10158	10158	10158	10158	10158
TRIAP1	3	5	10	27	131	1588	3809	5531	6684	7544	8178	8616	8990	9262	9488	9607	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157
SUMO1:CHD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AFXBO	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GALK1	6	58	1451	3850	5632	6751	7567	8197	8633	9000	9269	9492	9609	9706	9795	9872	9937	9991	10054	10107	10136	10150	10155	10158	10158	10158	10158	10158	10158	10158
Antigen	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
PTGFR:PGF2a	138	412	2384	4760	6153	7019	7723	8285	8679	9019	9279	9496	9613	9709	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157	10157
PILRA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
BRCA1	21	37	126	176	229	324	484	721	1194	2953	5545	7384	8477	9256	9684	9924	10046	10097	10127	10135	10140	10143	10148	10150	10154	10157	10159	10160	10160	10160
p-2S-SMAD1:p-2S-SMAD1:SMAD4	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
TCII:Cbl:CD320	3	4	6	12	94	1689	4005	5659	6746	7574	8197	8632	9000	9269	9491	9608	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157
GTPBP3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Growth	13	80	1495	3860	5617	6746	7576	8219	8648	9012	9292	9508	9620	9712	9800	9877	9941	9994	10057	10110	10139	10153	10158	10161	10161	10161	10161	10161	10161	10161
MT4:10Cu1+	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7(S)-Hp-17(S)-HDHA	7	185	1082	2417	4540	6172	7044	7608	8356	8787	9154	9416	9597	9726	9820	9910	9970	10038	10094	10127	10149	10154	10157	10157	10157	10157	10157	10157	10157	10157
