Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	PI3K-AKT-Signaling	Signaling-by-MET	Signaling-by-FGFR	ERK1-ERK2-pathway	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-Insulin-receptor	Integrin-signaling	Signaling-by-GPCR	DAG-and-IP3-signaling	Signaling-by-PDGF	Signaling-by-VEGF	Signaling-by-NTRKs	Signaling-by-WNT	TNF-signaling	Signaling-by-PTK6	Signaling-by-TGF-beta-Receptor-Complex	TRAIL-signaling	FasL--CD95L-signaling	Signaling-by-NOTCH	Signaling-by-BMP	Signaling-by-Activin	MAPK6-MAPK4-signaling	p75-NTR-receptor-mediated-signalling	Signaling-by-SCF-KIT	Signaling-by-Hedgehog	Signaling-by-Nuclear-Receptors	Signaling-by-Leptin	Signaling-by-Hippo	Signaling-by-Rho-GTPases	Signaling-by-MST1	mTOR-signalling
TNF-signaling	0.16129032258064516	0.15053763440860216	0.17204301075268819	0.16129032258064516	0.15053763440860216	0.15053763440860216	0.15053763440860216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17204301075268819	1.0	0.15053763440860216	0.15053763440860216	0.021505376344086023	0.021505376344086023	0.16129032258064516	0.0	0.0	0.15053763440860216	0.1935483870967742	0.0	0.16129032258064516	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-PTK6	0.16666666666666666	0.2543859649122807	0.18421052631578946	0.18421052631578946	0.22807017543859648	0.14912280701754385	0.21052631578947367	0.017543859649122806	0.017543859649122806	0.02631578947368421	0.05263157894736842	0.0	0.05263157894736842	0.10526315789473684	0.06140350877192982	0.12280701754385964	0.12280701754385964	1.0	0.14912280701754385	0.0	0.0	0.14035087719298245	0.0	0.0	0.13157894736842105	0.14912280701754385	0.05263157894736842	0.12280701754385964	0.008771929824561403	0.043859649122807015	0.0	0.05263157894736842	0.0	0.0
Signaling-by-TGF-beta-Receptor-Complex	0.09036144578313253	0.10240963855421686	0.09036144578313253	0.0963855421686747	0.09036144578313253	0.09036144578313253	0.08433734939759036	0.0	0.0	0.0	0.012048192771084338	0.0	0.006024096385542169	0.012048192771084338	0.006024096385542169	0.13253012048192772	0.08433734939759036	0.10240963855421686	1.0	0.0	0.0	0.16265060240963855	0.03614457831325301	0.060240963855421686	0.0963855421686747	0.10240963855421686	0.006024096385542169	0.0963855421686747	0.03614457831325301	0.0	0.012048192771084338	0.018072289156626505	0.0	0.0
TRAIL-signaling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.0	0.0	1.0	0.23076923076923078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FasL--CD95L-signaling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-NOTCH	0.06273062730627306	0.055350553505535055	0.07011070110701106	0.0959409594095941	0.05166051660516605	0.05166051660516605	0.06642066420664207	0.0	0.0	0.0	0.014760147601476014	0.0036900369003690036	0.0036900369003690036	0.0	0.0036900369003690036	0.08118081180811808	0.055350553505535055	0.05904059040590406	0.0996309963099631	0.0	0.0	1.0	0.0	0.0	0.06642066420664207	0.07011070110701106	0.0	0.07749077490774908	0.033210332103321034	0.0	0.0036900369003690036	0.0	0.0	0.0
Signaling-by-BMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	1.0	0.05555555555555555	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-Activin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35714285714285715	0.0	0.0	0.0	0.07142857142857142	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPK6-MAPK4-signaling	0.14285714285714285	0.13333333333333333	0.13333333333333333	0.19047619047619047	0.1523809523809524	0.13333333333333333	0.1523809523809524	0.0	0.0	0.0	0.01904761904761905	0.009523809523809525	0.0	0.11428571428571428	0.009523809523809525	0.2	0.13333333333333333	0.14285714285714285	0.1523809523809524	0.0	0.0	0.17142857142857143	0.0	0.0	1.0	0.14285714285714285	0.009523809523809525	0.1523809523809524	0.047619047619047616	0.0	0.0	0.1619047619047619	0.0	0.0
p75-NTR-receptor-mediated-signalling	0.13178294573643412	0.13178294573643412	0.13178294573643412	0.17054263565891473	0.11627906976744186	0.11627906976744186	0.11627906976744186	0.007751937984496124	0.007751937984496124	0.007751937984496124	0.12403100775193798	0.0	0.007751937984496124	0.031007751937984496	0.03875968992248062	0.11627906976744186	0.13953488372093023	0.13178294573643412	0.13178294573643412	0.0	0.0	0.14728682170542637	0.0	0.0	0.11627906976744186	1.0	0.015503875968992248	0.11627906976744186	0.007751937984496124	0.0	0.023255813953488372	0.15503875968992248	0.0	0.0
Signaling-by-SCF-KIT	0.11392405063291139	0.10126582278481013	0.0759493670886076	0.12658227848101267	0.1518987341772152	0.11392405063291139	0.12658227848101267	0.08860759493670886	0.10126582278481013	0.0379746835443038	0.1518987341772152	0.012658227848101266	0.13924050632911392	0.10126582278481013	0.12658227848101267	0.012658227848101266	0.0	0.0759493670886076	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.02531645569620253	1.0	0.0	0.0	0.05063291139240506	0.0	0.08860759493670886	0.0	0.0
Signaling-by-Hedgehog	0.0872093023255814	0.08139534883720931	0.09302325581395349	0.09883720930232558	0.08139534883720931	0.08139534883720931	0.11046511627906977	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.16279069767441862	0.0872093023255814	0.08139534883720931	0.09302325581395349	0.0	0.0	0.12209302325581395	0.01744186046511628	0.0	0.09302325581395349	0.0872093023255814	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Signaling-by-Nuclear-Receptors	0.0	0.0	0.04807692307692308	0.03365384615384615	0.0	0.028846153846153848	0.009615384615384616	0.0	0.0	0.0	0.009615384615384616	0.0	0.0	0.0	0.009615384615384616	0.07211538461538461	0.0	0.004807692307692308	0.028846153846153848	0.0	0.0	0.04326923076923077	0.0	0.0	0.02403846153846154	0.004807692307692308	0.0	0.0	1.0	0.0	0.0	0.028846153846153848	0.0	0.0
Signaling-by-Leptin	0.03225806451612903	0.0	0.0	0.0	0.16129032258064516	0.03225806451612903	0.06451612903225806	0.06451612903225806	0.06451612903225806	0.0	0.03225806451612903	0.0	0.06451612903225806	0.0	0.12903225806451613	0.0	0.0	0.16129032258064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12903225806451613	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Signaling-by-Hippo	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.022222222222222223	0.0	0.0	0.044444444444444446	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	1.0	0.08888888888888889	0.0	0.022222222222222223
Signaling-by-Rho-GTPases	0.013745704467353952	0.020618556701030927	0.006872852233676976	0.03436426116838488	0.01718213058419244	0.01718213058419244	0.037800687285223365	0.010309278350515464	0.010309278350515464	0.01718213058419244	0.08934707903780069	0.006872852233676976	0.010309278350515464	0.10996563573883161	0.020618556701030927	0.061855670103092786	0.0	0.020618556701030927	0.010309278350515464	0.0	0.0	0.0	0.0	0.0	0.058419243986254296	0.06872852233676977	0.024054982817869417	0.0	0.020618556701030927	0.0	0.013745704467353952	1.0	0.0	0.003436426116838488
Signaling-by-MST1	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
mTOR-signalling	0.0	0.0	0.0	0.3157894736842105	0.0	0.0	0.017543859649122806	0.017543859649122806	0.017543859649122806	0.017543859649122806	0.0	0.0	0.0	0.017543859649122806	0.017543859649122806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.017543859649122806	0.0	1.0
